revisionUrl,label
"https://en.wikipedia.org/w/index.php?title=Casualties_of_the_Israel%E2%80%93Hamas_war&oldid=1186505416","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)&oldid=1196173146","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Jabalia_refugee_camp_airstrikes_(2023%E2%80%932024)&oldid=1179333477","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Sexual_and_gender-based_violence_in_the_7_October_attack_on_Israel&oldid=1192352775","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=2023_Israel%E2%80%93Hamas_ceasefire&oldid=1188236171","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Israel%E2%80%93Hamas_war&oldid=1206512330","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=War_crimes_in_the_Israel%E2%80%93Hamas_war&oldid=1191175105","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=New_South_Wales_Premier%27s_Literary_Awards&oldid=322237254","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Israel%E2%80%93Hamas_war_protests&oldid=1189951378","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Sexual_and_gender-based_violence_in_the_7_October_attack_on_Israel&oldid=1210111194","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Al-Ahli_Arab_Hospital_explosion&oldid=1188008522","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Kfar_Aza_massacre&oldid=1182067433","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Gaza_Strip&oldid=1181547057","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Palestine_(region)&oldid=682980143","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Israeli_war_crimes&oldid=1153311427","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Hamas&oldid=1210616969","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Donna_Hylton&oldid=974382038","DECREASES npov"
"https://en.wikipedia.org/w/index.php?title=Hamas&oldid=1199512565","DECREASES npov"
"https://en.wikipedia.org/w/index.php?title=Israel_Defense_Forces&oldid=1162740932","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Gaza_Strip&oldid=1193742242","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Hamas&oldid=1200525016","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Quebec_%E2%80%93_New_England_Transmission&oldid=406484789","DOES NOT AFFECT npov"
"https://en.wikipedia.org/w/index.php?title=Israel%E2%80%93Saudi_Arabia_relations&oldid=719451942","INCREASES npov"
"https://en.wikipedia.org/w/index.php?title=Israel%E2%80%93Saudi_Arabia_relations&oldid=991555815","DOES NOT AFFECT npov"
